,county,ed,city
3732,Cork,Castlehaven North,No
3735,Cork,Rathluirc,No
3739,Cork,Ardskeagh,No
3741,Cork,Tobernea,No
3769,Cork,Dromcolliher,No
3779,Cork,Milltown,No
3812,Cork,Springfort,No
3829,Cork,Knocknaheeny,No
3847,Cork,Clonakilty Urban,No
3858,Cork,Clonakilty Rural,No
3863,Cork,Ardfield,No
3865,Cork,Coolcraheen,No
3870,Cork,Rathbarry,No
3883,Cork,Templeomalus,No
3889,Cork,Kilkerranmore,No
3909,Cork,Rossmore,No
3923,Cork,Kilnagross,No
3968,Cork,Moviddy,No
3969,Cork,Cloyne,No
3989,Cork,Inch,No
3999,Cork,Kilberrihert,No
4000,Cork,Aghinagh,No
4001,Cork,Magourney,No
4008,Cork,Aglish,No
4011,Cork,Cobh Urban,No
4012,Cork,Cobh Rural,No
4232,Cork,Knockmourne,No
4239,Cork,Curraglass,No
4333,Cork,Courtmacsherry,No
4358,Cork,Crookhaven,No
4364,Cork,Warrenscourt,No
4366,Cork,Ballymurphy,No
4429,Cork,Streamhill,No
4453,Cork,Firmount,No
4470,Cork,Lehenagh,No
4856,Cork,Bredagh,No
4857,Cork,Garranes,No
4858,Cork,Dromdaleague South,No
4866,Cork,Dromdaleague North,No
4876,Cork,Drinagh,No
4890,Cork,Dromina,No
4892,Cork,Dangan,No
4894,Cork,Templenacarriga,No
4896,Cork,Dunmanway South,No
4899,Cork,Garrown,No
4902,Cork,Dunmanway North,No
4907,Cork,Manch,No
4911,Cork,Ballingurteen,No
4915,Cork,Milane,No
4931,Cork,Durrus West,No
4932,Cork,Knocks,No
4939,Cork,Castletown,No
4976,Cork,Fermoy Rural,No
4990,Cork,Coole,No
5036,Cork,Roskeen,No
5042,Cork,Rathcormack,No
5051,Cork,Castle Hyde,No
5060,Cork,Killathy,No
5113,Cork,Allow,No
5116,Cork,Bawncross,No
5118,Cork,Kilfaughnabeg,No
5126,Cork,Derry,No
5128,Cork,Myross,No
5130,Cork,Riverstown,No
5131,Cork,Caherlag,No
5324,Cork,Kilshannig,No
5325,Cork,Glanworth West,No
5377,Cork,Kilcaskan,No
5386,Cork,Ballynaglogh,No
5387,Cork,Glenville,No
5412,Cork,Goleen,No
5431,Cork,Knockantota,No
5441,Cork,Greenfort,No
5482,Cork,Knockavilly,No
5509,Cork,Kanturk,No
5513,Cork,Greenane,No
5540,Cork,Coolclogh,No
5543,Cork,Castlecor,No
5559,Cork,Kilbrittain,No
5561,Cork,Rathclarin,No
5565,Cork,Coolmain,No
5575,Cork,Kildinan,No
5576,Cork,Kildorrery,No
5577,Cork,Farahy,No
5589,Cork,Monanimy,No
5600,Cork,Clonpriest,No
5624,Cork,Carrigboy,No
5627,Cork,Kilworth,No
5639,Cork,Kinsale Rural,No
5659,Cork,Ballinspittle,No
5664,Cork,Ballymackean,No
5738,Cork,Leighmoney,No
5819,Cork,Doonasleen,No
5821,Cork,Knockraha,No
5828,Cork,Garryvoe,No
5844,Cork,Lisgoold,No
5846,Cork,Templebodan,No
5852,Cork,Knockskagh,No
5853,Cork,Cloonkeen,No
5857,Cork,Shreelane,No
5872,Cork,Cape Clear,No
5877,Cork,Mashanaglass,No
5903,Cork,Macroom Urban,No
5905,Cork,Rahalisk,No
5906,Cork,Macloneigh,No
5914,Cork,Inchigeelagh,No
5923,Cork,Kilnamartery,No
5947,Cork,Clondrohid,No
5978,Cork,Candroma,No
5993,Cork,Mallow North Urban,No
5994,Cork,Mallow Rural,No
6003,Cork,Mallow South Urban,No
6035,Cork,Rathcool,No
6055,Cork,Keale,No
6172,Cork,Ballyclogh,No
6192,Cork,Rahan,No
6197,Cork,Ballynamona,No
6199,Cork,Clenor,No
6224,Cork,Caherduggan,No
6253,Cork,Kilmaclenine,No
6279,Cork,Kilcorney,No
6348,Cork,Rostellan,No
6450,Cork,Ballyspillane,No
6522,Cork,Milford,No
6524,Cork,Drishane,No
6528,Cork,Coomlogane,No
6531,Cork,Caherbarnagh,No
6545,Cork,Mitchelstown,No
6556,Cork,Kilphelan,No
6559,Cork,Marshalstown,No
6560,Cork,Derryvillane,No
6577,Cork,Kilgullane,No
6617,Cork,Monkstown Rural,No
6674,Cork,Barleyhill,No
6676,Cork,Newmarket,No
6685,Cork,Glenlara,No
6689,Cork,Barnacurra,No
6693,Cork,Meens,No
6700,Cork,Newtown,No
6701,Cork,Nohavel,No
6702,Cork,Ballygroman,No
6763,Cork,Kinure,No
6901,Cork,Cullen,No
7070,Cork,Clonfert West,No
7071,Cork,Rosscarbery,No
7084,Cork,Castleventry,No
7090,Cork,Cahermore,No
7093,Cork,Mountrivers,No
7104,Cork,Dunmanus,No
7108,Cork,Lowertown,No
7113,Cork,Toormore,No
7153,Cork,Shanballymore,No
7192,Cork,Castlehaven South,No
7205,Cork,Aghadown North,No
7206,Cork,Cloghdonnell,No
7208,Cork,Woodfort,No
7210,Cork,Aghadown South,No
7264,Cork,Timoleague,No
7377,Cork,Watergrasshill,No
7381,Cork,Gortroe,No
7512,Cork,Youghal Urban,No
7513,Cork,Youghal Rural,No
7548,Cork,Kinsalebeg,No
